name,year,price,km_driven,image_url,dealer
Ford Fiesta Classic 1.4 SXI Duratorq,2007,130000,98000,https://auto.webindia123.com/car/fiesta_Duratec_1.4_EXI/fiesta_Duratec_1.4_EXI_l_1.jpg,Bali Bija Car Rental
Chevrolet Sail 1.2 Base,2015,281000,40000,https://chileautos.pxcrush.net/chileautos/cars/private/digmp34ih8cjw0jm0l8nnrgdf.jpg?pxc_method=fitfill&pxc_bgtype=self&height=725&width=1087,Bali Bija Car Rental
Toyota Corolla Altis 1.8 VL CVT,2008,400000,35000,https://imgx.gridoto.com/crop/0x0:0x0/700x465/photo/2021/09/04/toyota-corolla-altis-18-v-2015-20210904122049.jpeg,Bali Bija Car Rental
Mercedes-Benz New C-Class 220 CDI AT,2013,1425000,59000,https://upload.wikimedia.org/wikipedia/commons/1/1f/2015_Mercedes-Benz_C_250_AMG_Line_sedan_%28W205%3B_01-12-2019%29%2C_South_Tangerang.jpg,Bali Bija Car Rental
Audi A6 2.0 TDI Design Edition,2013,1735000,50000,https://images.clickdealer.co.uk/vehicles/5549/5549272/full/129408738.jpg,Bali Bija Car Rental
Volkswagen Jetta 1.4 TSI Comfortline,2013,450000,50000,https://cdn.rnudah.com/images/plain/84de8f0863e6934e3d902bc562b3ef88-2891026958707711303.jpg,Bali Bija Car Rental
Jeep Compass 1.4 Sport Plus BSIV,2018,1700000,50000,https://images10.gaadi.com/usedcar_image/4146793/original/processed_5bfd60f5c4564864307b6e2282afb5c1.png?imwidth=420,Bali Bija Car Rental
BMW 3 Series 320d Sport Line,2018,2300000,39000,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/2DIGG8Z_bz5qwfb0_1_45672105.jpeg?q=80&q=80,Bali Bija Car Rental
Audi Q7 35 TDI Quattro Premium,2009,1250000,78000,https://images10.gaadi.com/usedcar_image/4053264/original/processed_b663641af47ef645ad39a72bada76857.jpg?imwidth=420,Bali Bija Car Rental
Honda Aviator,2008,14000,66000,https://stat.overdrive.in/wp-content/odgallery/2018/07/45029_2018_honda_aviator_001.jpg,Denpasar Transport
Yamaha FZ16,2012,35000,29000,https://premiumbikes.ph/wp-content/uploads/2023/05/Yamaha-FZ16-Ambush-Blue-Colour.png,Denpasar Transport
Suzuki GS150R,2010,30000,130000,https://imgd.aeplcdn.com/664x374/bw/models/suzuki-gs150r-standard-146.jpg?20190103151915&q=80,Denpasar Transport
Yamaha FZ25,2019,150000,2500,https://cdn0-production-images-kly.akamaized.net/TpVsctiz80gw76sVP1vcQbJBTZw=/1200x675/smart/filters:quality(75):strip_icc():format(webp)/kly-media-production/medias/3096753/original/040448800_1586320311-BS6-Yamaha-FZ25-Price.jpg,Denpasar Transport
Royal Enfield Thunderbird 350X,2019,160000,6330,https://stat.overdrive.in/wp-content/odgallery/2018/02/40990_royal_enfield_thunderbird_350x.jpg,Denpasar Transport
Royal Enfield Classic 350,2020,175000,500,https://imgcdn.zigwheels.my/large/gallery/color/89/1414/royal-enfield-classic-350-color-302694.jpg,Denpasar Transport
TVS Apache RTR 200 4V,2018,95000,9600,https://imgd.aeplcdn.com/664x374/n/cw/ec/49725/apache-200-right-front-three-quarter.jpeg?q=80,Denpasar Transport
Hero Honda Glamour,2008,30000,7500,https://5.imimg.com/data5/OH/VN/JA/SELLER-4954/hero-glamour-125cc-bs6.png,Denpasar Transport
Hero Karizma 2014,2013,35000,26000,https://i0.wp.com/cdn.juraganwp.com/monkeymotoblog/wp-content/uploads/2014/07/12021458/2014-karizma-r-studio-shot.jpg?ssl=1,Denpasar Transport
Suzuki Gixxer [2014-2018],2016,60000,16000,https://bd.gaadicdn.com/processedimages/suzuki/suzuki-gixxer/494X300/m_gixxer_11540279652.jpg,Denpasar Transport
Honda Activa [2000-2015],2014,30000,52000,https://imgd.aeplcdn.com/424x424/bikewaleimg/ec/519/img/l/Honda-Activa-Front-three-quarter-1388.jpg?v=201711021421&q=80,Denpasar Transport
